67	1	4	736	S
67	4	1	291	S
67	2	1	41	S
67	9	4	2696	S
67	3	8	591	S
67	7	2	596	S
67	5	3	411	S
67	0	6	1116	S
67	8	5	511	S
67	6	5	386	S
68	1	8	1211	S
68	4	1	2966	S
68	2	0	61	S
68	9	8	136	S
68	3	8	1166	S
68	7	2	6	S
68	5	9	1066	S
68	0	9	1241	S
68	8	3	561	S
68	6	5	796	S
69	1	8	306	S
69	2	0	496	S
69	4	1	351	S
69	9	8	676	S
69	3	5	401	S
69	7	4	31	S
69	5	8	401	S
69	8	3	1056	S
69	0	6	6351	S
69	6	0	321	S
70	1	4	1861	S
70	2	8	311	S
70	4	7	1221	S
70	9	4	856	S
70	3	2	1861	S
70	7	2	336	S
70	5	8	546	S
70	8	6	596	S
70	0	9	451	S
70	6	5	1996	S
71	1	8	2481	S
71	2	1	286	S
71	4	7	256	S
71	9	4	121	S
71	3	8	326	S
71	7	3	526	S
71	5	8	176	S
71	8	2	3611	S
71	0	6	406	S
71	6	8	156	S
72	1	4	1621	S
72	2	1	926	S
72	9	4	541	S
72	4	9	3171	S
72	3	9	131	S
72	7	2	2331	S
72	5	9	651	S
72	8	3	2051	S
72	0	9	1306	S
72	6	6	10001	B
73	1	8	806	S
73	2	4	6	S
73	9	4	1011	S
73	4	9	181	S
73	7	4	6	S
73	3	8	386	S
73	5	9	151	S
73	8	3	441	S
73	0	6	1006	S
73	6	0	4451	S
74	1	8	36	S
74	2	1	221	S
74	9	4	396	S
74	4	8	186	S
74	7	9	316	S
74	3	5	716	S
74	5	8	36	S
74	8	3	66	S
74	0	9	2751	S
74	6	5	141	S
75	1	4	1781	S
75	2	1	6	S
75	4	9	311	S
75	9	8	616	S
75	7	2	971	S
75	3	8	1656	S
75	5	3	1316	S
75	8	3	1971	S
75	0	0	10001	B
75	6	4	186	S
76	1	4	2341	S
76	2	3	616	S
76	4	9	406	S
76	3	8	841	S
76	7	2	791	S
76	9	8	381	S
76	5	3	371	S
76	8	3	406	S
76	0	6	2746	S
76	6	0	3496	S
77	1	4	3766	S
77	2	3	146	S
77	4	9	276	S
77	9	3	111	S
77	7	9	631	S
77	3	5	751	S
77	5	8	321	S
77	8	3	2506	S
77	0	6	646	S
77	6	9	681	S
78	1	4	1321	S
78	4	9	921	S
78	2	8	781	S
78	9	7	246	S
78	3	8	881	S
78	7	2	271	S
78	5	8	131	S
78	8	6	291	S
78	0	4	146	S
78	6	4	2141	S
79	1	8	1136	S
79	2	3	571	S
79	4	9	1226	S
79	9	4	131	S
79	3	3	10001	B
79	7	9	916	S
79	5	8	531	S
79	8	3	546	S
79	0	8	1846	S
79	6	8	301	S
80	1	4	1831	S
80	2	8	86	S
80	4	9	81	S
80	3	1	386	S
80	9	8	6	S
80	7	9	591	S
80	8	5	1501	S
80	5	8	521	S
80	0	9	1821	S
80	6	5	2331	S
81	1	4	3611	S
81	2	8	166	S
81	4	9	666	S
81	3	5	936	S
81	7	3	356	S
81	9	4	136	S
81	8	3	1491	S
81	5	8	1051	S
81	6	8	281	S
81	0	0	10001	B
82	1	8	846	S
82	2	9	1456	S
82	4	1	581	S
82	3	8	806	S
82	7	9	191	S
82	9	4	151	S
82	8	1	941	S
82	5	3	216	S
82	6	0	606	S
82	0	6	2521	S
83	1	8	346	S
83	4	8	666	S
83	2	8	826	S
83	3	5	371	S
83	7	2	176	S
83	9	4	6	S
83	8	6	741	S
83	5	4	146	S
83	6	0	26	S
83	0	7	816	S
84	1	4	1666	S
84	4	9	126	S
84	2	3	156	S
84	3	7	3486	S
84	7	9	6	S
84	9	7	16	S
84	8	6	511	S
84	5	3	261	S
84	6	0	6321	S
84	0	0	10001	B
85	1	7	301	S
85	4	9	251	S
85	2	3	1231	S
85	3	5	2461	S
85	7	3	571	S
85	9	7	236	S
85	8	9	6	S
85	5	8	266	S
85	6	8	1221	S
85	0	6	781	S
86	1	8	621	S
86	4	8	921	S
86	2	1	6941	S
86	3	9	4556	S
86	7	8	496	S
86	9	7	456	S
86	8	3	871	S
86	5	8	676	S
86	6	0	116	S
86	0	6	2336	S
87	1	8	1771	S
87	4	7	706	S
87	2	1	1021	S
87	3	8	721	S
87	7	1	316	S
87	9	8	1146	S
87	8	3	456	S
87	5	3	71	S
87	6	0	6	S
87	0	2	3996	S
88	1	8	1551	S
88	4	9	126	S
88	2	8	371	S
88	3	8	3656	S
88	7	2	886	S
88	9	8	301	S
88	8	3	611	S
88	6	4	166	S
88	5	9	301	S
88	0	9	2191	S
89	1	8	261	S
89	4	8	1156	S
89	2	8	146	S
89	3	8	481	S
89	7	3	231	S
89	9	4	186	S
89	8	9	1656	S
89	5	8	6	S
89	6	4	521	S
89	0	8	1746	S
90	1	4	1096	S
90	4	8	716	S
90	2	1	341	S
90	3	5	946	S
90	7	9	286	S
90	9	8	66	S
90	8	3	621	S
90	5	3	1446	S
90	6	8	181	S
90	0	0	10001	B
91	1	4	916	S
91	4	7	486	S
91	2	8	426	S
91	3	5	21	S
91	7	3	561	S
91	9	8	261	S
91	8	5	386	S
91	5	3	381	S
91	6	0	246	S
91	0	6	6601	S
92	1	7	466	S
92	4	7	906	S
92	2	7	1451	S
92	3	8	426	S
92	7	9	371	S
92	9	8	51	S
92	8	3	486	S
92	5	3	766	S
92	6	8	691	S
92	0	6	641	S
93	1	8	1981	S
93	4	8	1041	S
93	2	8	56	S
